학번, 패스워드, 이름, 생년월일, 전화번호, 메일, 학과, 학년, 성적, 메모
2001948636,bfynghlclrvocbrr,최지우,19950326,01075227209,bceoyzefd@knu.ac.kr,국어국문학과,2,0.09,-
2001825721,rcugdnaitjhbbhjq,김가은,20020322,01045437569,bcxohaqex@knu.ac.kr,음악학과,2,2.33,-
2012606327,moefuygqqhrwpuem,한서아,19930319,01037544257,gdmlfdojh@knu.ac.kr,식품공학부,1,2.90,-
2016875912,vrhwxjnnlstveydw,박민재,20050526,01015699395,ajaadvysh@knu.ac.kr,아동학부,4,4.06,-
2016204058,nzkzbvjtevnywrji,안지훈,19901218,01011083765,gklzbksbv@knu.ac.kr,바이오섬유소재학과,2,3.90,-
2017589849,mkldizupxdayxecx,임지민,19820825,01068618519,gwtjttjjb@knu.ac.kr,불어불문학과,4,1.54,-
2025493302,dhtubifyawbrzdaq,강민혁,20001203,01009427460,ewcnhjdrq@knu.ac.kr,원예과학과,4,0.88,-
2015380882,ffecgmfnhhiuxwcj,김다윤,20000406,01081052030,aszmmltsh@knu.ac.kr,원예과학과,3,4.03,-
2008241318,rmvttzvssmxdngof,강세은,19940409,01002082294,xohtkankx@knu.ac.kr,원예과학과,2,0.93,-
2006162444,edgngusqyhcgysys,송예나,19900713,01069338686,aludpumvz@knu.ac.kr,행정학부,2,1.66,-
2008902300,nrgjokustyixvwhr,이태현,19860103,01041301753,vgdwemfgz@knu.ac.kr,식품공학부,3,4.27,-
2010567104,lcbgbzitntskosrc,권서영,19931003,01003268849,kshcodcob@knu.ac.kr,미디어커뮤니케이션학과,3,4.29,-
2009783852,uvabjmgbwcrfcbfi,이민준,19940305,01031699369,owvjmwcan@knu.ac.kr,국어국문학과,4,0.30,-
2020948150,idwmrrurxhuiwixp,이윤지,19960819,01008689179,ewbcllsoh@knu.ac.kr,경제통상학부,4,0.48,-
2013286689,qsearoipwdvqbfot,정예지,19920120,01050317379,behfitrmp@knu.ac.kr,수학과,1,1.09,-
2008997189,cztclketispalppu,신지후,19840101,01054934847,geghnwiwn@knu.ac.kr,치의예과,1,4.06,-
2022409757,mpesezybgmqsqaie,김율,19850907,01068756437,imiflpjmw@knu.ac.kr,산림과학ㆍ조경학부,3,4.17,-
2017580784,iwjlvysngwscokws,황지원,20050723,01004875004,pzuslgdiz@knu.ac.kr,화학공학과,3,4.24,-
2000380524,gpfggonsdezyswcw,김현서,19900114,01073205504,apwnnctct@knu.ac.kr,식품공학부,3,4.24,-
2021420074,woawmnyomdfzedie,김현준,20050623,01002934561,llvxjlcsj@knu.ac.kr,신소재공학부,4,4.09,-
2005051144,ejocmqtbpuspanrx,김예빈,19831101,01002528059,ynzcrqqry@knu.ac.kr,일어일문학과,2,2.45,-
2007976588,vsuqqlbsscuexckn,안예린,19960520,01088074632,ywhecjxlq@knu.ac.kr,간호학과,2,4.23,-
2013568595,xtgwqsmbwxbxyqfi,김소은,19971214,01034786096,auadoijku@knu.ac.kr,토목공학과,1,0.66,-
2005146387,krugfppgdlquehum,서지안,19920210,01035078741,doswrfiwr@knu.ac.kr,윤리교육과,3,3.82,-
2009814164,kzklflwvjfvzidmr,김소윤,20030211,01005758119,xjvdgpldb@knu.ac.kr,생명공학부,3,1.54,-
2007571692,aqeylpjisjcltvwe,이승민,19940811,01065605908,jpprenpcf@knu.ac.kr,환경공학과,3,3.46,-
2016685923,crfqerrrnupxrelo,김윤성,19801017,01033899190,qbfeypwsa@knu.ac.kr,융합학부,1,4.23,-
2000099670,gowpozvxxflatymx,김규민,19950527,01052587358,hoyjrdbrq@knu.ac.kr,응용생명과학부,2,3.86,-
2013007348,npumwmkbmaxemrae,김승준,19890507,01069040137,hsqkmtztu@knu.ac.kr,영어교육과,2,2.21,-
2004604211,qdvzygdkkgbyxcwm,김지아,19960801,01088598872,gkvvrgzwr@knu.ac.kr,생물교육과,3,0.85,-
2022611048,zklziszbrirgnxfu,김윤우,19801222,01047644766,bnydsympq@knu.ac.kr,생명공학부,4,3.17,-
2000060336,ldmosedcojkcfwcd,김하은,19981210,01023607689,jqhbdhlwc@knu.ac.kr,환경공학과,2,2.91,-
2024391684,gavnqqjfocccafns,박지우,19890803,01039220163,yomrtrkgr@knu.ac.kr,화학과,2,2.46,-
2012778320,noutgibclnkcowka,임현우,19940620,01078399203,uisokjlqd@knu.ac.kr,고고인류학과,2,4.27,-
2019030156,uxzbfmosoxwokfbi,윤민아,20060822,01026740781,nffcdhjuh@knu.ac.kr,교육학과,3,3.77,-
2023603561,nvgqhshqdjskrmnx,조승아,19940619,01050015354,wnxfjxiae@knu.ac.kr,에너지공학부,1,2.30,-
2019565073,yeboawsrsdjjzlew,박로운,19840401,01006231255,yvaqyfyyi@knu.ac.kr,환경공학과,1,2.83,-
2007357348,qfwodobyulpolbjw,이선우,19940516,01000739074,ayrixawpq@knu.ac.kr,윤리교육과,2,2.97,-
2018054716,ynkdpkfoperariru,김은채,19820421,01052173737,gksnkyref@knu.ac.kr,토목공학과,2,2.27,-
2007240685,ryadmqrerdngyniz,이수연,19830310,01009032291,xjlwlawux@knu.ac.kr,우주공학부,1,0.67,-
2016175113,lkmxljhfowzbejye,김다온,20050418,01055808796,ckfgzyjse@knu.ac.kr,고분자공학과,4,0.66,-
2009581885,dwfinducwiaamcgi,김아영,19841202,01054175957,cpygtcnuf@knu.ac.kr,중어중문학과,4,1.78,-
2017507270,qzxiwnmjzeitfiad,김시은,19830421,01090337715,fdfaptgdi@knu.ac.kr,일어일문학과,4,2.95,-
2011995393,ipyisfsjdaagaqyq,정수아,20020101,01081819348,qyqmrwmsp@knu.ac.kr,의예과,2,4.11,-
2004143301,lofuianrvevnrmru,신하람,19910617,01023124179,peetnnexr@knu.ac.kr,의예과,3,3.13,-
2014976800,mzslftgztvrgpwgd,이민주,19850125,01025271060,kopyzuvlk@knu.ac.kr,섬유시스템공학과,2,0.67,-
2005112700,svdzcyroskjfsvhw,이하연,19800310,01042752591,unqbjojnh@knu.ac.kr,수학교육과,1,2.26,-
2011808575,nxprmblwnvpvqjew,조시연,19960502,01077772223,iorbphruq@knu.ac.kr,수의예과,3,0.05,-
2018514357,nnhxxvaisjmrsmuh,이재현,19821016,01075251681,pijxhyjrf@knu.ac.kr,아동학부,3,3.47,-
2022774643,fzvoqeunobjpuday,김도훈,19950714,01052793283,ouwdwiydp@knu.ac.kr,융합학부,1,4.19,-
2020350319,tahtaexbuyndopxy,김소민,19951116,01061011850,vojdhkaws@knu.ac.kr,기계공학부,1,3.25,-
2017058748,oswazpjjbwnztvnk,김규민,20040426,01029403245,rqkydfaqa@knu.ac.kr,지구시스템과학부,2,2.02,-
2012385462,pujiauhmmvljqdhs,김준혁,19920111,01012871939,endxburyx@knu.ac.kr,간호학과,2,1.35,-
2005448215,qolquuocrrpovseh,김현우,19861210,01091321368,kogincrzu@knu.ac.kr,융합학부,3,1.46,-
2002327385,bcqgellavdctyoof,김지오,19980602,01010268866,mfcyejjdl@knu.ac.kr,컴퓨터학부,2,2.12,-
2016783396,crejsygtlnazgwtb,이서진,19880818,01041355956,gepvssjcr@knu.ac.kr,문헌정보학과,3,0.17,-
2004478390,jdtadqmxvdmkabzn,김세은,20021001,01014788043,kvpeiluwg@knu.ac.kr,사학과,1,0.44,-
2018678354,ozvmjfjgtoiybgoq,최채원,20050305,01094754556,ilbzibiqs@knu.ac.kr,한문학과,3,1.19,-
2015098962,micfpmboipvlpuhj,박아린,19931110,01087205507,jigcagcwe@knu.ac.kr,물리학과,4,3.12,-
2020677244,ovlghqqrylrxutgk,이세은,19840123,01042095406,eyrnmlzoo@knu.ac.kr,국악학과,4,1.40,-
2024731035,pxkhsoffldcfjyhc,김지성,19970505,01089290194,igsdbbxqo@knu.ac.kr,토목공학과,1,0.88,-
2010595516,ervylizouckfgsdu,황정우,19980708,01002371652,phxmvslgj@knu.ac.kr,생물학과,3,2.56,-
2013283466,ljcmyxageexieich,김서우,19940521,01054802529,ogtbnbafg@knu.ac.kr,미술학과,3,4.29,-
2010244691,rgmfvjpghweornwt,이예린,19980116,01093337447,glgrjqaog@knu.ac.kr,국어교육과,4,2.41,-
2017905232,iaupadxqazqwlsvi,이하영,20000402,01010087914,comsvgjqy@knu.ac.kr,고고인류학과,1,0.97,-
2012610541,brrofmgtgrtmhkuy,이다윤,20041219,01007616390,ogydgijdy@knu.ac.kr,수의예과,4,4.25,-
2015126023,kntuxvkdcifknupe,이예은,19980603,01026268135,utccdsyhf@knu.ac.kr,치의예과,1,2.23,-
2018366653,hiwxbbzrntglvvyk,김현우,19891007,01020705363,ynwbddkgp@knu.ac.kr,고고인류학과,3,4.24,-
2004201207,gsijfvmtfvyqesqh,이유빈,19840608,01090748603,lrsqdxhhz@knu.ac.kr,지구과학교육과,2,2.65,-
2012018771,znzlaujugqkfhwzl,최연우,20010118,01015686879,vxoioddwj@knu.ac.kr,화학공학과,3,1.02,-
2016841596,ziswptdfbceudbod,김지아,19960307,01008465582,mzkvsmtgv@knu.ac.kr,음악학과,3,2.06,-
2002362793,tohfmztnaobnboij,송세아,19810123,01096214821,elpiavyes@knu.ac.kr,심리학과,2,2.04,-
2019113738,vhvmbbemgrxaxfiz,박이안,19931103,01025587693,ynqddrpft@knu.ac.kr,신소재공학부,3,1.04,-
2006468754,odphzhteeemkwiic,강다온,19991105,01080357698,bzmrpsdtf@knu.ac.kr,중어중문학과,2,4.12,-
2010181274,rnipdksoflldrzge,이서연,19871011,01065819158,rhgomsbqg@knu.ac.kr,국어국문학과,4,3.82,-
2002172342,wrtsfarqfdvcmshk,최세아,19860415,01040719583,kraovbfim@knu.ac.kr,농업토목ㆍ생물산업공학부,3,4.26,-
2012375091,ylbplqlqakgelgfl,이나윤,19800921,01082700048,mokicatvo@knu.ac.kr,한문학과,2,0.37,-
2025777775,gpvlveytvzussljf,김윤호,19850525,01051520639,zmqhipgfn@knu.ac.kr,환경공학과,3,3.81,-
2003309675,bfzwhskxelkuzgjv,이이준,19971126,01081997232,gjlrmlsfj@knu.ac.kr,정치외교학과,2,1.50,-
2024462557,ovrqwqmrujvyatan,한유진,20001003,01052616677,mhxcpavbv@knu.ac.kr,생명공학부,2,1.30,-
2002576045,qqwpwyvmmejgmcon,신준우,19830407,01030460199,eyuwmlrpq@knu.ac.kr,산림과학ㆍ조경학부,4,0.29,-
2024654263,iajadabesnwrxiaf,이채아,20050828,01085981384,qozbrikjy@knu.ac.kr,노어노문학과,4,3.65,-
2002076926,pateimwvozmdcwqm,강윤호,19931022,01099278910,mjlelchch@knu.ac.kr,지리학과,3,1.05,-
2009647545,bgdxkxzwknlbazwk,박아린,20020918,01073481542,mloeuqlxv@knu.ac.kr,원예과학과,3,1.88,-
2010914614,rineictbjscumeqj,정지은,20050816,01075471690,auofjpyxt@knu.ac.kr,일어일문학과,2,3.10,-
2013786371,ldukdihsaqojhoxp,정도현,19820413,01075530846,fdhgmtzpk@knu.ac.kr,영어교육과,4,1.26,-
2025471341,rczhjxdfwxspdavf,최로운,19800912,01001561670,dueopuzff@knu.ac.kr,물리교육과,1,4.02,-
2009139709,tuhwkvfhofggqkha,정주아,19850611,01014322148,qedraxabh@knu.ac.kr,의류학과식품영양학과,4,3.96,-
2004598479,hmtdbvfmdkzyljtp,전민규,19800619,01000233490,frxonmcol@knu.ac.kr,불어불문학과,3,0.65,-
2005219678,esnrsrpewfnbpptt,정시원,19930423,01044824501,bjjmrggdi@knu.ac.kr,수학교육과,4,4.04,-
2014316457,toxirqdscdcsflff,박시연,20000912,01097570409,sxkodrfjx@knu.ac.kr,가정교육과,3,4.30,-
2024525885,jaiapfeauhpheqab,김수현,19840729,01023511310,ptlrmsozb@knu.ac.kr,융합학부,4,0.19,-
2015995077,qodnhvdegsyqqvgs,김주아,19911018,01019981930,daflowygm@knu.ac.kr,사회학과,3,0.19,-
2017436042,mvcrptybkuggnmyq,이은채,19821229,01095917611,ociypkrcr@knu.ac.kr,신소재공학부,4,2.06,-
2006222705,oqwrkyrmgxhozobt,박나은,19961112,01066566177,tiwridwcn@knu.ac.kr,노어노문학과,2,1.72,-
2021039718,svurvjveyyqnzscr,전지성,19910627,01012391495,yjzurzljg@knu.ac.kr,사회복지학부,1,2.14,-
2015838501,swuslebioakiaeip,이윤지,20020213,01053197440,qaaeeoiss@knu.ac.kr,행정학부,3,0.05,-
2019355977,ghinqxajzhdkwvhc,신태양,19801016,01057594296,gnnrqsukl@knu.ac.kr,영어교육과,1,0.19,-
2006405942,pogkzdiysbdlhhil,신연우,19940405,01053042516,gouqobkfb@knu.ac.kr,지리학과,3,4.16,-
2017690925,mbblrupznnhggmsd,박아인,19951025,01050059124,tkdrxeypl@knu.ac.kr,환경공학과,4,2.65,-
2012441644,iheasvpnysvsbdzh,김윤성,19920927,01018360574,dbsucomsa@knu.ac.kr,수학교육과,1,4.25,-
2014214191,oupxhymntkhyroer,김하영,19980704,01091667411,rlymjlahp@knu.ac.kr,토목공학과,2,1.16,-
2001285165,bdhnibqfoplffhph,박이서,19890903,01009021478,gflpoefay@knu.ac.kr,물리학과,1,4.09,-
2021337836,ntmudwnahidpcmha,박지율,20000227,01025821305,aecwhqzwi@knu.ac.kr,농산업학과,1,4.20,-
2008055776,xppilcvfztntzwbe,김진우,19871001,01094191226,iwtfianzj@knu.ac.kr,국악학과,2,4.25,-
2011452855,ixyszbtrcymukkzv,김주하,20060907,01022075508,pnqltetqb@knu.ac.kr,철학과,4,3.75,-
2015712639,qzekghddpwsxnktf,김지율,19850313,01017201888,foeoqriys@knu.ac.kr,에너지공학부,1,2.75,-
2005466442,sydzccchnwtgwxoq,박서진,19961105,01086357961,dzlacrrlk@knu.ac.kr,윤리교육과,2,3.38,-
2023814558,gxndfvuhssqfbaot,윤하영,19920603,01029770379,bgpyvloxz@knu.ac.kr,토목공학과,2,1.98,-
2004003533,xftzffebqptnvsso,김예지,19911121,01026690330,ukznmlebj@knu.ac.kr,농업토목ㆍ생물산업공학부,3,1.84,-
2025736701,yzbrksxzfcwykvwc,정동현,19810422,01068943367,txltthtko@knu.ac.kr,국어국문학과,1,1.07,-
2003938332,jloyxwvtkgizwccu,김예린,19890715,01017357421,kywwmqdyy@knu.ac.kr,물리교육과,1,4.08,-
2000014603,qtalmwjifaiwucew,이서연,19950523,01019286288,fheopdulb@knu.ac.kr,일어일문학과,1,0.33,-
2008241081,snszyytkvyxnhgue,김준혁,19980619,01065391907,vbdxhljxk@knu.ac.kr,지리학과,1,2.98,-
2007478371,chymdnwwjofwdovp,박하람,19950913,01057391733,znxdclmil@knu.ac.kr,전자공학부,4,2.05,-
2014327943,phusknhipaabggxi,박은성,19891109,01068915748,vxshniyih@knu.ac.kr,식물의학과,4,2.66,-
2006562251,gvfvwvaubkufdzru,이시후,19991206,01008157481,qwbbqiwon@knu.ac.kr,융합학부,3,0.49,-
2013561849,cnamwikfulszzegg,김시후,20060225,01005629886,nptavexab@knu.ac.kr,아동학부,1,3.77,-
2014064740,qfhsyxslnsyapnxq,이이서,19870713,01024772609,ubfdggqme@knu.ac.kr,바이오섬유소재학과,1,3.23,-
2006434564,xwpjmmlizaryhmck,안하람,20000402,01064086067,sjzgefaak@knu.ac.kr,고분자공학과,4,0.87,-
2002956524,ouxnjsxkpjyrigfe,최재윤,20030509,01088841973,qbrxlczhl@knu.ac.kr,체육교육과,3,4.14,-
2011117355,zvkkrgwmlemfpobb,이건우,19860314,01023426003,ufnegrgmt@knu.ac.kr,지구과학교육과,1,3.65,-
2018034804,fxejxrtowhdufzso,이수빈,20010902,01077080262,dferfhfwr@knu.ac.kr,경제통상학부,4,0.53,-
2014762584,gvnumjkdoeqxshvj,박로운,19981202,01093375168,hqtxrehmt@knu.ac.kr,의예과,1,2.58,-
2006992745,jnvvmuvtpnrwygqh,강은호,19981104,01081401755,zlfmvtywx@knu.ac.kr,지리교육과,4,3.77,-
2008363337,xavvumyvdbmhevmf,김서진,19880117,01073480874,rrrdxedrr@knu.ac.kr,통계학과,4,1.66,-
2021900962,agheowqzcfgeemhq,임정우,19830522,01039573862,moqvghtqr@knu.ac.kr,농업토목ㆍ생물산업공학부,3,0.63,-
2004713074,vqehylebnimlrgnt,박세아,19900428,01011804258,ocipkhmsx@knu.ac.kr,물리교육과,2,2.06,-
2020232765,tsxmtktoralqbwsj,최지안,20040219,01014351021,cvbfkfkkh@knu.ac.kr,행정학부,4,3.65,-
2013925168,zajyufaulcjfuugl,오준호,19830127,01014863106,jrecjzvfq@knu.ac.kr,약학과,4,4.09,-
2020029507,lyvvihltshrahobh,조지율,19940910,01053417922,gqfoohxmo@knu.ac.kr,디자인학과,3,1.10,-
2021222102,zvdcucvauqctmpvt,김다온,19950928,01077842712,gzmufvpmr@knu.ac.kr,수학교육과,4,4.09,-
2005104452,eefjhhwuvbfvxaaj,윤연서,19810317,01093694756,zyeznryrd@knu.ac.kr,노어노문학과,3,1.44,-
2020432898,hudvibmegdnoegyx,이주안,19840921,01015944191,jxfiduflr@knu.ac.kr,지구과학교육과,3,0.94,-
2021861769,jnspfwspruhduktv,김채윤,19880212,01046191891,rkcqkhtyf@knu.ac.kr,교육학과,2,1.02,-
2018534254,ouumvepnwyxmxfub,이아인,20060715,01009268488,fgazmiilb@knu.ac.kr,영어교육과,1,2.47,-
2002154516,yditeqziparrmjmv,김성현,20060521,01078575898,fmufqdrwc@knu.ac.kr,불어불문학과,1,4.23,-
2012635589,bzcxyeepbrxtdxqt,이서영,19920717,01016532540,vhqbjqgtr@knu.ac.kr,지구과학교육과,1,3.98,-
2008465701,akqncbdqtrzicunr,이시원,19840923,01013228989,pehympffc@knu.ac.kr,신소재공학부,4,4.19,-
2001762190,jkqpjmxnbfclsele,정지안,20020615,01018491285,jsjlexdgd@knu.ac.kr,전자공학부,2,3.89,-
2005416312,vmqkscnmyshexqtm,황지후,19811225,01015551061,gbsvsorkq@knu.ac.kr,전자공학부,1,1.30,-
2004269079,sfeofwgpwjukrzlw,이예진,20050106,01049512977,jmiwsrtig@knu.ac.kr,한문학과,2,1.62,-
2006490666,kbkkwdepvmkbzbsi,권시아,20021218,01064134649,syaxhgunr@knu.ac.kr,섬유시스템공학과,3,4.28,-
2014929520,xxatybsvxqzopbmy,박지현,19971025,01014282466,mmrekfmcx@knu.ac.kr,화학공학과,4,0.44,-
2004579674,gywcnuyqugtbrbrk,박사랑,19890205,01043472493,xpppccfjl@knu.ac.kr,지구과학교육과,2,3.40,-
2000215359,peuymekkwfeihapp,정유나,19830725,01029069113,njrfhleqs@knu.ac.kr,아동학부,1,4.21,-
2025104545,hcgtuxvtebbkxzae,최은우,20050812,01076826053,saloxowpb@knu.ac.kr,고분자공학과,1,3.42,-
2009458491,jdarydgvlbdpwklj,강주하,19910608,01078702151,nwtacjqlz@knu.ac.kr,기계공학부,1,0.42,-
2016368498,lgpxzheoamdciqwv,박진우,19941204,01027634959,ispxasduq@knu.ac.kr,생물교육과,2,3.25,-
2024366842,sgbaegjfisjktqbh,정지우,20040523,01059182208,xmxmgxwhx@knu.ac.kr,산림과학ㆍ조경학부,3,3.67,-
2014712670,ltfsjzulxbztesss,김지환,19851110,01013708289,qacxxmhwk@knu.ac.kr,아동학부,2,3.70,-
2007280402,tpaziwfctcwyuqay,김은채,20020413,01094229342,bovddbbmi@knu.ac.kr,농산업학과,3,3.31,-
2007608668,zvwvqmlvpkcebknw,정아인,19880826,01048047086,fyljjvjhi@knu.ac.kr,식품공학부,4,0.69,-
2016858161,hydnkvdpwadkwyjl,신정우,19881216,01030682577,htlnttyyv@knu.ac.kr,한문학과,2,2.16,-
2008963757,kfqcaasoftzkbwkk,최하린,19820408,01004756342,uizrqnlhh@knu.ac.kr,식품공학부,2,4.00,-
2015327735,aptorjhfzmchnzmx,이민준,19950424,01063387982,laadxivqx@knu.ac.kr,식품공학부,3,4.26,-
2017158260,xdxfkgkivmzbvvnz,김준수,19800423,01093943947,oxisoaeac@knu.ac.kr,식품공학부,2,3.60,-
2013040691,nnjbqjycwhndzubr,이지우,20020506,01033751916,hvknzhzfj@knu.ac.kr,식품자원경제학과,1,0.50,-
2002037608,zsephmqcqdrzkdhj,이다은,20051029,01086889580,eaaylxgaf@knu.ac.kr,의예과,2,4.03,-
2012272764,rnnzrmcwgkdzkryi,강준수,19881222,01062786977,ckihygzhf@knu.ac.kr,전기공학과,2,2.36,-
2024522804,oecpjnnaghvtwtss,박지율,19920301,01006120076,epalnrmso@knu.ac.kr,생물학과,4,0.58,-
2008524629,nxdjezifwfbbrkss,이시연,19891002,01071854287,oqaqkxoos@knu.ac.kr,독어독문학과,4,1.33,-
2009130147,hysknvperxfbpqls,이태윤,19851115,01030244609,bkacrnzhc@knu.ac.kr,식물의학과,4,2.34,-
2020489637,qwiidfxioadgwnmc,박수아,19990306,01002811849,cetzrvgbb@knu.ac.kr,체육교육과,1,0.42,-
2024551140,bsgwlbkdtueuhjsx,박로운,19881022,01016090256,tjhfnnwxy@knu.ac.kr,정치외교학과,2,4.14,-
2025745516,ijdqetjiqwvjeqiv,장시현,20050418,01034567638,dvjasbaof@knu.ac.kr,영어교육과,4,0.00,-
2012594054,sdcklxbtrfesctpb,김규민,19940713,01029038147,fuqjfnrcv@knu.ac.kr,식품자원경제학과,4,4.15,-
2017867882,rnormztkriwfacnp,김하연,20001209,01044258139,wcneuaqtz@knu.ac.kr,환경공학과,2,1.20,-
2025050606,tbcoyqciyieusbsd,박지수,19901129,01068609004,gktffucuh@knu.ac.kr,지구시스템과학부,2,2.12,-
2006276431,kmfjptumqciervac,박민준,20010303,01002962102,zgrfnayzh@knu.ac.kr,치의예과,4,2.46,-
2003945893,toseoqyzornlgrja,박수호,20010204,01013174718,oapfazqeg@knu.ac.kr,지리학과,3,0.67,-
2005571558,ywkgzckyiermytgw,이지우,19980610,01064786672,hxjkalodu@knu.ac.kr,신소재공학부,3,2.76,-
2010868881,tfjclodikhnozaac,김주안,19930114,01083357378,qpvnzucqj@knu.ac.kr,지구과학교육과,2,3.16,-
2025126927,yeyzeytlecwamwku,김수민,19880705,01008411916,aykxcvxbe@knu.ac.kr,지리교육과,1,2.71,-
2001204941,fnvczqbluusynagt,최수호,19891119,01095688516,ljjkiwgyf@knu.ac.kr,영어영문학과,1,2.66,-
2022439198,fauriitdmpdrwtaw,김예서,19950504,01011299160,jaznldijh@knu.ac.kr,수의예과,3,0.24,-
2007974041,wrhruwkcgucupakf,최다온,19920628,01081934934,unbwhmjnu@knu.ac.kr,생물학과,2,2.16,-
2020202458,xbxvveufakoveaaz,박민지,19951119,01022345637,rxhxbigjh@knu.ac.kr,수학교육과,3,4.22,-
2021819000,aychiobtdijgphbn,이채은,19931121,01018715671,fiyxgdgvm@knu.ac.kr,가정교육과,2,4.10,-
2017427834,fsyizmfptdboqntc,박주원,19950822,01020832192,jtxlnkhfm@knu.ac.kr,음악학과,1,1.19,-
2017058767,yfjmcxxctkrtyvqn,이지원,20040103,01084469624,mbdydbybz@knu.ac.kr,미디어커뮤니케이션학과,4,1.01,-
2022577886,kohtglknaskrseza,김유나,19950413,01024100560,xzplxzdfz@knu.ac.kr,국악학과,1,2.14,-
2012259574,pithyvpvxabtbvry,한지수,19800302,01015111368,ehhndgniy@knu.ac.kr,고고인류학과,3,4.12,-
2003161347,oyfmssbrlfbikttv,윤윤서,19841024,01069311737,dpelcnpge@knu.ac.kr,의류학과식품영양학과,3,0.46,-
2009758984,hvjafgunjqbdzvsp,박유나,19820313,01026309990,vsgmvnwuu@knu.ac.kr,음악학과,1,4.20,-
2015102764,jtpocydspptvrabq,김민지,20020108,01076046696,eqdzhjyjv@knu.ac.kr,산림과학ㆍ조경학부,2,1.72,-
2003275208,dqwqkhwosgflnqvj,이채린,19831215,01076972976,bowhatpko@knu.ac.kr,국어국문학과,2,1.47,-
2022557089,jsdxlyzknjogdezn,정로운,20040302,01032055575,psweeimwu@knu.ac.kr,철학과,1,4.15,-
2023159721,arvquovvsqtewbjz,송소연,19971011,01011760101,jdrynncey@knu.ac.kr,치의예과,1,2.90,-
2002900607,lusdvxollfpqmkdt,이시온,19810520,01056373418,umstmfuod@knu.ac.kr,사학과,2,1.84,-
2005559660,lztghhzfzxnsprmz,김은채,19860325,01098494062,dldlyaqwr@knu.ac.kr,미디어커뮤니케이션학과,4,3.72,-
2004483732,glnjyvyevtnjgpyw,이승준,19900909,01015759465,ohgxvzybm@knu.ac.kr,건축학부,3,2.86,-
2004418140,zrqskpwoihenggwp,조서영,19990121,01087212852,sahjsfyeu@knu.ac.kr,수학과,4,3.54,-
2018565459,fwzwzlszrfxaqkur,김연우,19970529,01084543243,zxhpbdajd@knu.ac.kr,지리학과,4,1.81,-
2024550278,vmngugziuwfgsnfc,정나연,19830329,01036845034,dlclfdhxo@knu.ac.kr,섬유시스템공학과,2,4.05,-
2025460565,meigiilyucugvolh,박수현,19871113,01025454674,qtejbwbzg@knu.ac.kr,행정학부,3,4.05,-
